"trait","gene","statistic","controlled_available","controlled_p","controlled_error_bound","controlled_terms","controlled_reason","approximate_available","approximate_p","approximate_method","moment_fallback"
"A","gene0651",66.5664265016414,TRUE,0.0799582789284489,9.47288137146361e-11,441,"",TRUE,0.0795523747023473,"saddlepoint",FALSE
"A","gene0652",33.1649410668303,TRUE,0.948968351486504,9.74186147332731e-11,463,"",TRUE,0.948813893401296,"saddlepoint",FALSE
"A","gene0653",40.4771724858501,TRUE,0.646456441000056,9.41063626222309e-11,437,"",TRUE,0.645657983988156,"saddlepoint",FALSE
"A","gene0654",55.851707073437,TRUE,0.375809888379116,9.55406254327454e-11,468,"",TRUE,0.375015497801329,"saddlepoint",FALSE
"A","gene0655",87.5242914765176,TRUE,0.0115204600501198,9.85043083342671e-11,451,"",TRUE,0.0114375335334882,"saddlepoint",FALSE
"A","gene0656",25.9042682259444,TRUE,0.989959233702403,9.77977994268998e-11,457,"",TRUE,0.989924136600699,"saddlepoint",FALSE
"A","gene0657",27.7176098207534,TRUE,0.965351726571079,9.91978517557446e-11,444,"",TRUE,0.965228970037355,"saddlepoint",FALSE
"A","gene0658",40.2466953196011,TRUE,0.760356217258084,9.53346046854084e-11,454,"",TRUE,0.759791929260702,"saddlepoint",FALSE
"A","gene0659",56.0286881737977,TRUE,0.297401954541541,9.94223857972779e-11,461,"",TRUE,0.296619986409306,"saddlepoint",FALSE
"A","gene0660",54.2683594967445,TRUE,0.337660858576109,9.71680765363137e-11,462,"",TRUE,0.336781262539099,"saddlepoint",FALSE
"A","gene0661",60.8007533736503,TRUE,0.224509850975224,9.50851522085044e-11,463,"",TRUE,0.223790680096608,"saddlepoint",FALSE
"A","gene0662",57.0024201933499,TRUE,0.25449394726974,9.58219270531975e-11,452,"",TRUE,0.253735228995768,"saddlepoint",FALSE
"A","gene0663",58.1619329788623,TRUE,0.298136523745478,9.60655850658007e-11,474,"",TRUE,0.297374757245993,"saddlepoint",FALSE
"A","gene0664",53.1333031551001,TRUE,0.314240356535997,9.96681174549562e-11,449,"",TRUE,0.313354109495193,"saddlepoint",FALSE
"A","gene0665",67.1283975478259,TRUE,0.162315674379206,9.40503798972647e-11,486,"",TRUE,0.161776215286436,"saddlepoint",FALSE
"A","gene0666",22.7266237168625,TRUE,0.988549007404357,9.66823515235853e-11,449,"",TRUE,0.988503079371349,"saddlepoint",FALSE
"A","gene0667",47.3731860048189,TRUE,0.635021422522054,9.47788691063253e-11,494,"",TRUE,0.634306893781462,"saddlepoint",FALSE
