"analysis","scope","component","region","quantity","trait1","trait2","estimate","truth","lower","upper","interval_kind","uncertainty_reason"
"hess_cov","region","region","region007","cov","B","C",0.00557744778576542,0.00206245687096609,-0.00222089173867478,0.0133757873102056,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region008","cov","B","C",0.00593210652640435,0.00199747414165284,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region009","cov","B","C",0.00279160388400755,0.00115877550177988,-0.00501600507529824,0.0105992128433133,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region010","cov","B","C",0.00125848306196961,0.000919422784962641,-0.00683593701369595,0.00935290313763517,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region011","cov","B","C",0.00243272774933566,0.00169947091865401,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region012","cov","B","C",0.00238824440634754,0.00036214304380082,-0.00584321686142761,0.0106197056741227,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region013","cov","B","C",0.00157554971146141,0.000913460967130979,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region014","cov","B","C",0.00657111819569938,0.00336785529988479,-0.00185426165122233,0.0149964980426211,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region015","cov","B","C",0.00516763361150765,0.00307729563764648,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region016","cov","B","C",0.00163753290070206,0.000118763137806152,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region017","cov","B","C",0.00368335200854968,-2.28222557807315e-05,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region018","cov","B","C",0.0015106100207876,0.00271019688131095,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region019","cov","B","C",0.00310464390679718,0.000829417043128322,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region020","cov","B","C",0.00227187415441503,0.00076793850649989,-0.00478574946350171,0.00932949777233176,"normal_approximation:conditional_gaussian_plugin_delta",""
"supergnova_cov","region","region","region001","cov","A","B",0.0615999278170833,0.0498653962742753,0.0382525230345306,0.084947332599636,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region002","cov","A","B",0.000938586000473393,7.57630821297854e-37,-0.0133005328448426,0.0151777048457894,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region003","cov","A","B",7.2623852405413e-05,0.00141397890446085,-0.00603168561221846,0.00617693331702929,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region004","cov","A","B",0.00214525805736371,0.000843828578519918,-0.00294786239992043,0.00723837851464785,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region005","cov","A","B",-0.00684585546570444,0.00116782528764939,-0.0129234341406344,-0.000768276790774455,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region006","cov","A","B",0.000527649265611215,0.000770015032588227,-0.00566086208402372,0.00671616061524615,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region007","cov","A","B",0.00175737416626448,0.00200401509198095,-0.00594531685836203,0.00946006519089099,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region008","cov","A","B",0.00426097894023943,0.00127028031437362,-0.0031161010618614,0.0116380589423403,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region009","cov","A","B",-0.00455392311300334,0.00156078527766965,-0.00960757295101078,0.000499726725004105,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region010","cov","A","B",-0.00119312160802888,0.000577608681538967,-0.00739384608846639,0.00500760287240863,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region011","cov","A","B",0.00108180639930101,0.00147581671745886,-0.00642992493850595,0.00859353773710797,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region012","cov","A","B",-0.000331447587342184,0.000929466107670678,-0.00641457039597133,0.00575167522128696,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region013","cov","A","B",-0.000981328182019551,0.00239299332268338,-0.00893559450592217,0.00697293814188307,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region014","cov","A","B",8.2518776143488e-05,0.0024218319164453,-0.00804004025093748,0.00820507780322446,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region015","cov","A","B",-0.000314508316827768,0.00143815313220081,-0.00611391394408894,0.0054848973104334,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region016","cov","A","B",0.000192165391683318,5.24078621967826e-05,-0.00702186411773525,0.00740619490110189,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region017","cov","A","B",-0.00401788370829027,0.000244988694031344,-0.00917275472509225,0.00113698730851171,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region018","cov","A","B",0.00119286093747848,0.00266019945646275,-0.00490571570951956,0.00729143758447651,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region019","cov","A","B",0.0002367610875634,0.000417541122046389,-0.00730366676803076,0.00777718894315756,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region020","cov","A","B",0.00372186970788107,0.000920523798266706,-0.00353637360363698,0.0109801130193991,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region001","cov","A","C",0.0413407270655458,0.0465318265315027,0.0220219626021747,0.0606594915289169,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region002","cov","A","C",-0.00412500110983216,7.06982167706919e-37,-0.0212232617653892,0.0129732595457249,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region003","cov","A","C",0.00728707588255076,0.0011823493036829,0.000719234283637122,0.0138549174814644,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region004","cov","A","C",-0.000354991344494764,0.000358299299174467,-0.00541141742751268,0.00470143473852315,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region005","cov","A","C",-0.00160012793035048,0.00170195295417455,-0.00776051472442537,0.00456025886372441,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region006","cov","A","C",-0.00152504591537797,0.000384925713498964,-0.00743871542288885,0.00438862359213292,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region007","cov","A","C",0.00994006233194958,0.0013329397101453,0.00265260301502431,0.0172275216488748,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region008","cov","A","C",0.00313343147002755,0.00199424865941885,-0.00367341637746247,0.00994027931751757,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region009","cov","A","C",0.0019177988551722,0.00110043915667998,-0.00415250753660625,0.00798810524695065,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region010","cov","A","C",0.00333602866241214,0.000222181400181282,-0.0065012429461831,0.0131733002710074,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region011","cov","A","C",-0.00178163956721049,0.00171910223437467,-0.00943325047629874,0.00586997134187775,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region012","cov","A","C",-0.0059878664394342,0.000189877177727522,-0.0136490612294336,0.00167332835056521,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region013","cov","A","C",-0.000186665588120699,0.000463459633311509,-0.00711952226017526,0.00674619108393386,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region014","cov","A","C",0.00576951676357014,0.00190009665973702,-0.00336055627998083,0.0148995898071211,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region015","cov","A","C",0.00331198969183459,0.00244362521953447,-0.00347534430238717,0.0100993236860564,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region016","cov","A","C",0.00243338482896248,0.00042030492504612,-0.00420363739349996,0.00907040705142492,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region017","cov","A","C",-0.000188192562553384,0.000171110679268355,-0.0069928457122102,0.00661646058710343,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region018","cov","A","C",0.00232941102774192,0.00142791551332039,-0.0017557031558041,0.00641452521128794,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region019","cov","A","C",-0.00215444326277453,0.000767158816394137,-0.00843001915349291,0.00412113262794385,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region020","cov","A","C",0.00366867951579962,0.00100902731434102,-0.00337267894876385,0.0107100379803631,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region001","cov","B","C",0.0705428472583255,0.0540104686592574,0.0444934534582112,0.0965922410584397,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region002","cov","B","C",0.052506106117267,0.0540104686592574,0.0371388030680325,0.0678734091665016,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region003","cov","B","C",0.000327501206570255,0.00146259792186695,-0.00561764139161619,0.0062726438047567,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region004","cov","B","C",0.0060781758691122,0.000268091231529343,-0.000400413649448017,0.0125567653876724,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region005","cov","B","C",0.00603646457595987,0.00214463221625043,-0.00165566514108949,0.0137285942930092,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region006","cov","B","C",3.52519604614699e-05,8.62489828666318e-05,-0.00643584920791521,0.00650635312883815,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region007","cov","B","C",0.00643047838502283,0.00206245687096609,-0.00127900475042991,0.0141399615204756,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region008","cov","B","C",0.00538247632498512,0.00199747414165284,-0.00188342702165113,0.0126483796716214,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region009","cov","B","C",0.000797028798125829,0.00115877550177988,-0.00613817691560611,0.00773223451185777,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region010","cov","B","C",0.00124559342274762,0.000919422784962641,-0.00552503854178509,0.00801622538728032,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region011","cov","B","C",0.000991901903876211,0.00169947091865401,-0.00543081898637383,0.00741462279412625,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region012","cov","B","C",-0.00040488683992757,0.00036214304380082,-0.0092958904976848,0.00848611681782966,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region013","cov","B","C",0.00146377306217794,0.000913460967130979,-0.0037798017848363,0.00670734790919219,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region014","cov","B","C",0.0061325616949522,0.00336785529988479,-0.00206899706064204,0.0143341204505464,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region015","cov","B","C",0.00468386188128076,0.00307729563764648,-0.00246849588753999,0.0118362196501015,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region016","cov","B","C",0.000856809657019929,0.000118763137806152,-0.00624137508825794,0.0079549944022978,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region017","cov","B","C",0.00368840284642966,-2.28222557807315e-05,-0.00172358644327554,0.00910039213613485,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region018","cov","B","C",0.000536862151832419,0.00271019688131095,-0.00504929005684113,0.00612301436050597,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region019","cov","B","C",0.000701684908099195,0.000829417043128322,-0.00456890169006364,0.00597227150626203,"normal_approximation:spectral_wls",""
"supergnova_cov","region","region","region020","cov","B","C",0.00283987652114755,0.00076793850649989,-0.00318648665996719,0.00886623970226229,"normal_approximation:spectral_wls",""
"lava_cov","region","region","region001","cov","A","B",0.0579805759858094,0.0498653962742753,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region001","cov","A","C",0.0393795785546215,0.0465318265315027,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region001","cov","B","C",0.0658007228789315,0.0540104686592574,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region002","cov","A","B",0.00106749991974913,7.57630821297854e-37,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region002","cov","A","C",-0.00371887790189081,7.06982167706919e-37,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region002","cov","B","C",0.0498039105394576,0.0540104686592574,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region003","cov","A","B",-0.00066864692153646,0.00141397890446085,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region003","cov","A","C",0.0071115957850349,0.0011823493036829,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region003","cov","B","C",0.000397677381451744,0.00146259792186695,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region004","cov","A","B",-3.97973011017954e-06,0.000843828578519918,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region004","cov","A","C",-0.00199640706533182,0.000358299299174467,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region004","cov","B","C",0.00467099647802251,0.000268091231529343,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region005","cov","A","B",-0.00722504740283689,0.00116782528764939,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region005","cov","A","C",-0.00311795152121786,0.00170195295417455,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region005","cov","B","C",0.00488501638983441,0.00214463221625043,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region006","cov","A","B",0.00222111280174414,0.000770015032588227,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region006","cov","A","C",-0.000470005469576761,0.000384925713498964,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region006","cov","B","C",-0.00015222255189281,8.62489828666318e-05,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region007","cov","A","B",0.00104647209777505,0.00200401509198095,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region007","cov","A","C",0.009957691145983,0.0013329397101453,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"lava_cov","region","region","region007","cov","B","C",0.00557701781133813,0.00206245687096609,NA,NA,"unavailable","LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
