"replicate","seed","parameter","estimated","status","draws","mean","sd","median","lower","upper","hpd_lower","hpd_upper","diagnostic_status","rhat","ess_bulk","mcse_mean","method","truth"
5,20262500,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
5,20262500,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
5,20262500,"genetic_covariance[A,A]",TRUE,"available",2800,0.308712580364227,0.0160686968966966,0.308400552339461,0.278054497958551,0.340875984956764,0.277773619847882,0.340214083856216,"available",1.00006316199459,2921.50511776959,0.000297063144295018,"bayesc",NA
5,20262500,"h2[A]",TRUE,"available",2800,0.308712580364227,0.0160686968966966,0.308400552339461,0.278054497958551,0.340875984956764,0.277773619847882,0.340214083856216,"available",1.00006316199459,2921.50511776959,0.000297063144295018,"bayesc",0.299644935027348
5,20262500,"residual_variance",FALSE,"available",20000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
5,20262500,"effect_variance",FALSE,"available",20000,0.000810810810810811,2.19704663379328e-19,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,"not_updated",NA,NA,NA,"bayesr",NA
5,20262500,"active_markers",TRUE,"available",20000,986.8975,30.9534844510272,987,927,1048,929,1049,"available",1.00026973941889,20455.4911294325,0.21645405401578,"bayesr",939
5,20262500,"weight_0",FALSE,"available",20000,0.98,2.58480260007822e-16,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
5,20262500,"weight_1",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
5,20262500,"weight_2",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
5,20262500,"weight_3",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
5,20262500,"genetic_covariance[A,A]",TRUE,"available",20000,0.296985039382266,0.0208835107014341,0.296587543297406,0.257513625438662,0.338845578354077,0.257413398127377,0.338700368624734,"available",1.00009774869731,20089.7528181814,0.000147280743294966,"bayesr",NA
5,20262500,"h2[A]",TRUE,"available",20000,0.296985039382266,0.0208835107014341,0.296587543297406,0.257513625438662,0.338845578354077,0.257413398127377,0.338700368624734,"available",1.00009774869731,20089.7528181814,0.000147280743294966,"bayesr",0.299644935027348
6,20262600,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
6,20262600,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
6,20262600,"active_markers",TRUE,"available",2800,1000.97928571429,31.5080123223326,1001,941,1063.65833333333,940,1062,"available",0.999961215705342,2265.44161689013,0.66220172931493,"bayesc",998
6,20262600,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
6,20262600,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
6,20262600,"genetic_covariance[A,A]",TRUE,"available",2800,0.31659248819472,0.0160656258766979,0.316547221442234,0.285361602596712,0.348559711680493,0.285201617755928,0.348237664153915,"available",1.00080753005522,2750.93519686005,0.000307776941320748,"bayesc",NA
6,20262600,"h2[A]",TRUE,"available",2800,0.31659248819472,0.0160656258766979,0.316547221442234,0.285361602596712,0.348559711680493,0.285201617755928,0.348237664153915,"available",1.00080753005522,2750.93519686005,0.000307776941320748,"bayesc",0.295937482095736
6,20262600,"residual_variance",FALSE,"available",20000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
6,20262600,"effect_variance",FALSE,"available",20000,0.000810810810810811,2.19704663379328e-19,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,"not_updated",NA,NA,NA,"bayesr",NA
6,20262600,"active_markers",TRUE,"available",20000,994.37605,30.8825407465715,994,935,1056,932,1052,"available",0.999983185246426,20341.3948220033,0.216517836248928,"bayesr",998
6,20262600,"weight_0",FALSE,"available",20000,0.98,2.58480260007822e-16,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
6,20262600,"weight_1",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
